"%d Review(s)","%d Reseña(s)"
"%s Review(s)","%s Reseña(s)"
"(Posted on %s)","(Publicado en %s)"
"1 star","1 estrella"
"2 star","2 estrellas"
"2 stars","2 estrellas"
"3 star","3 estrellas"
"3 stars","3 estrellas"
"4 star","4 estrellas"
"4 stars","4 estrellas"
"5 star","5 estrellas"
"5 stars","5 estrellas"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Añadir nueva reseña"
"Add Your Review","Añadir tu reseña"
"Administrator","Administrador"
"All Reviews","Todas las reseñas"
"All Reviews of Customer `%s`","Todas las reseñas del Clientes `%s`"
"All Reviews of Product `%s`","Todas las reseñas del producto `%s`"
"Allow Guests to Write Reviews","Permitir a los Invitados Escribir Reseñas"
"Approved","Aprobado"
"Are you sure you want to do this?","¿Estás seguro de querer hacer esto?"
"Are you sure?","¿Está seguro?"
"Average Customer Rating","Valoración Media de Clientes"
"Average Customer Rating:","Revisión Media de Clientes:"
"Back","Volver"
"Back to Main Product Info","Volver a Información Principal del Producto"
"Back to My Reviews","Volver a Mis Reseñas"
"Back to Product Reviews","Volver a Reseñas de Producto"
"Be the first to review this product","Sea el primero en dejar una reseña para este producto"
"Catalog Product Review View","Vista de Reseñas de Producto de Catálogo"
"Catalog Product Reviews List","Lista de Reseñas de Producto de Catálogo"
"Created On","Creado En"
"Customer","Cliente"
"Customer My Account Product Reviews","Reseñas de Producto de Mi Cuenta de Cliente"
"Customer My Account Review Details","Detalles de Revisión de Mi Cuenta de Cliente"
"Customer Reviews","Reseñas"
"Customers Reviews","Reseñas de clientes"
"Delete","Eliminar"
"Delete Review","Borrar Reseñas"
"Detailed Rating","Valoración Detallada"
"Edit Review '%s'","Editar Revisión '%s'"
"Guest","Invitado"
"How do you rate this product?","¿Cómo valoras este producto?"
"ID","Identificación"
"Let us know your thoughts","Háganos llegar su opinión"
"Manage Ratings","Administrar puntuaciones"
"My Product Reviews","Comentarios en productos"
"My Recent Reviews","Mis Reseñas Recientes"
"Name","Nombre"
"Name in Store","Nombre en la Tienda"
"New Review","Nueva Revisión"
"Nickname","Apodo"
"Nickname can\'t be empty","El apodo no puede estar vacío"
"Not Approved","No aprobado"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Sólo usuarios registrados pueden escribir sus opiniones. <a href=""%s"">Conéctese</a> o <a href=""%s"">regístrese</a>"
"Pending","Pendiente"
"Pending Reviews","Reseñas Pendientes"
"Pending Reviews of Customer `%s`","Reseñas Pendientes del Cliente `%s`"
"Please select a product","Por favor, selecciona un producto"
"Please select one of each of the ratings above","Por favor, selecciona una de cada una de las reseñas que aparecen encima"
"Posted By","Publicado Por"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre de Producto"
"Product Rating","Valoración de Producto"
"Product Rating:","Valoración de Producto:"
"Product Review (submitted on %s):","Revisión de Producto (enviada en %s):"
"Product Reviews","Opiniones de Producto"
"Product SKU","Unidad de Mantenimiento de Existencias de Producto"
"Products Reviews","Reseñas de Productos"
"Qty","Cantidad"
"Rating:","Valoración:"
"Review","Revisión"
"Review (submitted on %s):","Revisión (enviada en %s):"
"Review Details","Detalles de Revisión"
"Review Form Fields Before","Revisar campos del formulario antes"
"Review by %s","Revisado por %s"
"Review by <span>%s</span>","Revisión por <span>%s</span>"
"Review can\'t be empty","La opinión no puede estar vacía"
"Review summary can\'t be empty","El resumen de la opinión no puede estar vacío"
"Reviews and Ratings","Reseñas y Valoraciones"
"SKU","Número de referencia"
"Save Review","Guardar Revisión"
"Status","Estado"
"Submit Review","Enviar reseña"
"Summary Rating","Valoración Resum"
"Summary of Review","Resumen de Revisión"
"Summary of Your Review","Resumen de tu reseña"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","No ha sido posible publicar la revisión."
"Update Status","Actualizar Estado"
"View All Reviews","Ver Todas las Reseñas"
"View Details","Ver detalles"
"Visible In","Visible en"
"Websites","Páginas web"
"What's your nickname?","¿Cuál es su nombre de usuario?"
"Write Your Own Review","Escribir Tu Propia Revisión"
"You have submitted no reviews.","No has enviado ninguna revisión."
"You're reviewing:","Estás revisando:"
"Your Rating:","Tu Valoración:"
"Your Review (submitted on %s):","Tu Revisión (enviada en %s):"
"Your review has been accepted for moderation.","Tu revisión se ha aceptado para ser moderada."
